RAW: 0x122, VOLTS: 0.233643 V
RAW: 0x06d, VOLTS: 0.087817 V
RAW: 0x011, VOLTS: 0.013696 V
RAW: 0x023, VOLTS: 0.028198 V
RAW: 0x093, VOLTS: 0.118433 V
RAW: 0x164, VOLTS: 0.286816 V
RAW: 0x28b, VOLTS: 0.524487 V
RAW: 0x3f6, VOLTS: 0.816943 V
RAW: 0x58e, VOLTS: 1.145654 V
RAW: 0x740, VOLTS: 1.495312 V
RAW: 0x8fd, VOLTS: 1.853833 V
RAW: 0xa9f, VOLTS: 2.190601 V
RAW: 0xc13, VOLTS: 2.490308 V
RAW: 0xd45, VOLTS: 2.736841 V
RAW: 0xe2d, VOLTS: 2.923755 V
RAW: 0xeb2, VOLTS: 3.030908 V
RAW: 0xed5, VOLTS: 3.059106 V
RAW: 0xe8c, VOLTS: 3.000293 V
RAW: 0xde5, VOLTS: 2.865747 V
RAW: 0xce3, VOLTS: 2.657886 V
RAW: 0xb95, VOLTS: 2.388794 V
RAW: 0xa0d, VOLTS: 2.072973 V
RAW: 0x85f, VOLTS: 1.726538 V
RAW: 0x6a8, VOLTS: 1.372851 V
RAW: 0x4f7, VOLTS: 1.023999 V
RAW: 0x36d, VOLTS: 0.706567 V
RAW: 0x214, VOLTS: 0.428613 V
RAW: 0x10e, VOLTS: 0.217529 V
RAW: 0x05e, VOLTS: 0.075732 V
RAW: 0x011, VOLTS: 0.013696 V
RAW: 0x024, VOLTS: 0.029004 V
RAW: 0x0a0, VOLTS: 0.128906 V
RAW: 0x17d, VOLTS: 0.306958 V
RAW: 0x2ac, VOLTS: 0.551074 V
RAW: 0x41b, VOLTS: 0.846753 V
RAW: 0x5b5, VOLTS: 1.177075 V
RAW: 0x76d, VOLTS: 1.531567 V
RAW: 0x927, VOLTS: 1.887671 V
RAW: 0xac3, VOLTS: 2.219604 V
RAW: 0xc34, VOLTS: 2.516895 V
RAW: 0xd6a, VOLTS: 2.766650 V
RAW: 0xe3a, VOLTS: 2.934228 V
RAW: 0xeb9, VOLTS: 3.036548 V
RAW: 0xecf, VOLTS: 3.054272 V
RAW: 0xe85, VOLTS: 2.994653 V
RAW: 0xdd2, VOLTS: 2.850439 V
RAW: 0xcc6, VOLTS: 2.634521 V
RAW: 0xb72, VOLTS: 2.360596 V
RAW: 0x9e7, VOLTS: 2.042358 V
RAW: 0x837, VOLTS: 1.694311 V
RAW: 0x67d, VOLTS: 1.338208 V
RAW: 0x4d0, VOLTS: 0.992578 V
RAW: 0x34c, VOLTS: 0.679980 V
RAW: 0x1fc, VOLTS: 0.409277 V
RAW: 0x0fc, VOLTS: 0.203027 V
RAW: 0x051, VOLTS: 0.065259 V
RAW: 0x00d, VOLTS: 0.010474 V
RAW: 0x02d, VOLTS: 0.036255 V
RAW: 0x0b4, VOLTS: 0.145020 V
RAW: 0x193, VOLTS: 0.324683 V
RAW: 0x2c9, VOLTS: 0.574438 V
RAW: 0x440, VOLTS: 0.876562 V
RAW: 0x5df, VOLTS: 1.210913 V
RAW: 0x795, VOLTS: 1.563794 V
RAW: 0x94d, VOLTS: 1.918286 V
RAW: 0xaec, VOLTS: 2.252637 V
RAW: 0xc54, VOLTS: 2.542676 V
RAW: 0xd7a, VOLTS: 2.779541 V
RAW: 0xe4c, VOLTS: 2.948730 V
RAW: 0xebe, VOLTS: 3.040576 V
RAW: 0xecc, VOLTS: 3.051855 V
RAW: 0xe74, VOLTS: 2.980957 V
RAW: 0xdbc, VOLTS: 2.832715 V
RAW: 0xc9a, VOLTS: 2.599072 V
RAW: 0xb50, VOLTS: 2.333203 V
RAW: 0x9be, VOLTS: 2.009326 V
RAW: 0x811, VOLTS: 1.663696 V
RAW: 0x650, VOLTS: 1.301953 V
RAW: 0x4ad, VOLTS: 0.964380 V
RAW: 0x325, VOLTS: 0.648560 V
RAW: 0x1e5, VOLTS: 0.390747 V
RAW: 0x0ec, VOLTS: 0.190137 V
RAW: 0x047, VOLTS: 0.057202 V
RAW: 0x00c, VOLTS: 0.009668 V
RAW: 0x02d, VOLTS: 0.036255 V
RAW: 0x0c8, VOLTS: 0.161133 V
RAW: 0x1b9, VOLTS: 0.355298 V
RAW: 0x2ea, VOLTS: 0.601025 V
RAW: 0x46d, VOLTS: 0.912817 V
RAW: 0x609, VOLTS: 1.244751 V
RAW: 0x7c2, VOLTS: 1.600049 V
RAW: 0x970, VOLTS: 1.946484 V
RAW: 0xb0d, VOLTS: 2.279224 V
RAW: 0xc6a, VOLTS: 2.560400 V
RAW: 0xd93, VOLTS: 2.799683 V
RAW: 0xe5e, VOLTS: 2.963232 V
RAW: 0xec6, VOLTS: 3.047021 V
RAW: 0xec7, VOLTS: 3.047827 V
RAW: 0xe68, VOLTS: 2.971289 V
RAW: 0xda2, VOLTS: 2.811768 V
RAW: 0xc8b, VOLTS: 2.586987 V
RAW: 0xb2b, VOLTS: 2.303394 V
RAW: 0x99a, VOLTS: 1.980322 V
RAW: 0x7e5, VOLTS: 1.628247 V
RAW: 0x631, VOLTS: 1.276978 V
RAW: 0x484, VOLTS: 0.931348 V
RAW: 0x309, VOLTS: 0.626001 V
RAW: 0x1c5, VOLTS: 0.364966 V
RAW: 0x0d4, VOLTS: 0.170801 V
RAW: 0x041, VOLTS: 0.052368 V
RAW: 0x00b, VOLTS: 0.008862 V
RAW: 0x03f, VOLTS: 0.050757 V
RAW: 0x0d5, VOLTS: 0.171606 V
RAW: 0x1c8, VOLTS: 0.367383 V
RAW: 0x30b, VOLTS: 0.627612 V
RAW: 0x489, VOLTS: 0.935376 V
RAW: 0x631, VOLTS: 1.276978 V
RAW: 0x7e8, VOLTS: 1.630664 V
RAW: 0x98d, VOLTS: 1.969849 V
RAW: 0xb31, VOLTS: 2.308228 V
RAW: 0xc90, VOLTS: 2.591016 V
RAW: 0xda8, VOLTS: 2.816602 V
RAW: 0xe6d, VOLTS: 2.975317 V
RAW: 0xeca, VOLTS: 3.050244 V
RAW: 0xec2, VOLTS: 3.043799 V
RAW: 0xe58, VOLTS: 2.958398 V
RAW: 0xd8c, VOLTS: 2.794043 V
RAW: 0xc66, VOLTS: 2.557178 V
RAW: 0xb07, VOLTS: 2.274390 V
RAW: 0x96e, VOLTS: 1.944873 V
RAW: 0x7ba, VOLTS: 1.593603 V
RAW: 0x604, VOLTS: 1.240723 V
RAW: 0x45d, VOLTS: 0.899927 V
RAW: 0x2e6, VOLTS: 0.597803 V
RAW: 0x1a9, VOLTS: 0.342407 V
RAW: 0x0c2, VOLTS: 0.156299 V
RAW: 0x037, VOLTS: 0.044312 V
RAW: 0x00b, VOLTS: 0.008862 V
RAW: 0x049, VOLTS: 0.058813 V
RAW: 0x0ea, VOLTS: 0.188525 V
RAW: 0x1e5, VOLTS: 0.390747 V
RAW: 0x32a, VOLTS: 0.652588 V
RAW: 0x4af, VOLTS: 0.965991 V
RAW: 0x65c, VOLTS: 1.311621 V
RAW: 0x814, VOLTS: 1.666113 V
RAW: 0x9c2, VOLTS: 2.012549 V
RAW: 0xb55, VOLTS: 2.337231 V
RAW: 0xcac, VOLTS: 2.613574 V
RAW: 0xdb7, VOLTS: 2.828686 V
RAW: 0xe76, VOLTS: 2.982568 V
RAW: 0xecc, VOLTS: 3.051855 V
RAW: 0xebf, VOLTS: 3.041382 V
RAW: 0xe4b, VOLTS: 2.947925 V
RAW: 0xd73, VOLTS: 2.773901 V
RAW: 0xc4f, VOLTS: 2.538647 V
RAW: 0xae5, VOLTS: 2.246997 V
RAW: 0x949, VOLTS: 1.915064 V
RAW: 0x792, VOLTS: 1.561377 V
RAW: 0x5f4, VOLTS: 1.227832 V
RAW: 0x439, VOLTS: 0.870923 V
RAW: 0x2ca, VOLTS: 0.575244 V
RAW: 0x194, VOLTS: 0.325488 V
RAW: 0x0a9, VOLTS: 0.136157 V
RAW: 0x02d, VOLTS: 0.036255 V
RAW: 0x00d, VOLTS: 0.010474 V
RAW: 0x056, VOLTS: 0.069287 V
RAW: 0x0fd, VOLTS: 0.203833 V
RAW: 0x202, VOLTS: 0.414111 V
RAW: 0x34f, VOLTS: 0.682397 V
RAW: 0x4d5, VOLTS: 0.996606 V
RAW: 0x684, VOLTS: 1.343848 V
RAW: 0x83f, VOLTS: 1.700757 V
RAW: 0x9e0, VOLTS: 2.036719 V
RAW: 0xb71, VOLTS: 2.359790 V
RAW: 0xcc9, VOLTS: 2.636938 V
RAW: 0xdd3, VOLTS: 2.851245 V
RAW: 0xe83, VOLTS: 2.993042 V
RAW: 0xed3, VOLTS: 3.057495 V
RAW: 0xeb6, VOLTS: 3.034131 V
RAW: 0xe3d, VOLTS: 2.936646 V
RAW: 0xd5c, VOLTS: 2.755371 V
RAW: 0xc2e, VOLTS: 2.512060 V
RAW: 0xabf, VOLTS: 2.216382 V
RAW: 0x926, VOLTS: 1.886865 V
RAW: 0x764, VOLTS: 1.524316 V
RAW: 0x5b6, VOLTS: 1.177881 V
RAW: 0x411, VOLTS: 0.838696 V
RAW: 0x2a5, VOLTS: 0.545435 V
RAW: 0x17a, VOLTS: 0.304541 V
RAW: 0x0a2, VOLTS: 0.130518 V
RAW: 0x026, VOLTS: 0.030615 V
RAW: 0x011, VOLTS: 0.013696 V
RAW: 0x062, VOLTS: 0.078955 V
RAW: 0x10d, VOLTS: 0.216724 V
RAW: 0x21d, VOLTS: 0.435864 V
RAW: 0x372, VOLTS: 0.710596 V
RAW: 0x4f9, VOLTS: 1.025610 V
RAW: 0x6ad, VOLTS: 1.376880 V
RAW: 0x865, VOLTS: 1.731372 V
RAW: 0xa13, VOLTS: 2.077808 V
RAW: 0xb96, VOLTS: 2.389600 V
RAW: 0xcdf, VOLTS: 2.654663 V
RAW: 0xde6, VOLTS: 2.866553 V
RAW: 0xe8f, VOLTS: 3.002710 V
RAW: 0xed0, VOLTS: 3.055078 V
RAW: 0xeaf, VOLTS: 3.028491 V
RAW: 0xe29, VOLTS: 2.920532 V
RAW: 0xd42, VOLTS: 2.734424 V
RAW: 0xc12, VOLTS: 2.489502 V
RAW: 0xa9b, VOLTS: 2.187378 V
RAW: 0x8f7, VOLTS: 1.848999 V
RAW: 0x73c, VOLTS: 1.492090 V
RAW: 0x582, VOLTS: 1.135986 V
RAW: 0x3f1, VOLTS: 0.812915 V
RAW: 0x286, VOLTS: 0.520459 V
RAW: 0x161, VOLTS: 0.284399 V
RAW: 0x091, VOLTS: 0.116821 V
RAW: 0x022, VOLTS: 0.027393 V
RAW: 0x010, VOLTS: 0.012891 V
RAW: 0x06c, VOLTS: 0.087012 V
RAW: 0x121, VOLTS: 0.232837 V
RAW: 0x239, VOLTS: 0.458423 V
RAW: 0x394, VOLTS: 0.737988 V
RAW: 0x524, VOLTS: 1.060254 V
RAW: 0x6d5, VOLTS: 1.409106 V
RAW: 0x88f, VOLTS: 1.765210 V
RAW: 0xa39, VOLTS: 2.108423 V
RAW: 0xbbf, VOLTS: 2.422632 V
RAW: 0xd04, VOLTS: 2.684473 V
RAW: 0xdfb, VOLTS: 2.883472 V
RAW: 0xe89, VOLTS: 2.997876 V
